tweet,sentiment
Checked some emails.,neutral
Poor performance.,negative
Poor performance.,negative
Meeting went as expected.,neutral
Just another Tuesday.,neutral
Absolutely wonderful!,positive
Working on a project.,neutral
Meeting went as expected.,neutral
Feeling awful today.,negative
Checked some emails.,neutral
Feeling fantastic today!,positive
That ruined my day.,negative
Working on a project.,neutral
Went for a run.,neutral
I'm so upset.,negative
Had lunch at 1 PM.,neutral
Meeting went as expected.,neutral
Went for a run.,neutral
Checked some emails.,neutral
I'm so upset.,negative
Walking to the store.,neutral
Went for a run.,neutral
Feeling awful today.,negative
I'm so upset.,negative
Working on a project.,neutral
Meeting went as expected.,neutral
That made my day!,positive
It's a normal day.,neutral
Just another Tuesday.,neutral
Great job team!,positive
Feeling fantastic today!,positive
Such a great experience!,positive
Checked some emails.,neutral
It's a normal day.,neutral
Watching TV.,neutral
Absolutely wonderful!,positive
Doing my chores.,neutral
Feeling fantastic today!,positive
Working on a project.,neutral
Went for a run.,neutral
Great job team!,positive
Not happy at all.,negative
Doing my chores.,neutral
I'm so happy!,positive
Best day ever!,positive
I hate this.,negative
Total failure.,negative
Checked some emails.,neutral
Watching TV.,neutral
Absolutely wonderful!,positive
Absolutely wonderful!,positive
Totally recommend this!,positive
Filled up my water bottle.,neutral
Went for a run.,neutral
Worst day ever.,negative
Feeling fantastic today!,positive
That made my day!,positive
Meeting went as expected.,neutral
Filled up my water bottle.,neutral
I'm so upset.,negative
Best day ever!,positive
Doing my chores.,neutral
I love this!,positive
Great job team!,positive
Poor performance.,negative
Such a great experience!,positive
What a win!,positive
Just another Tuesday.,neutral
Just another Tuesday.,neutral
This is horrible.,negative
Feeling awful today.,negative
Total failure.,negative
This is horrible.,negative
Absolutely wonderful!,positive
I hate this.,negative
Poor performance.,negative
This is horrible.,negative
I hate this.,negative
Filled up my water bottle.,neutral
That ruined my day.,negative
Do not recommend.,negative
Great job team!,positive
Meeting went as expected.,neutral
Great job team!,positive
Poor performance.,negative
Terrible experience.,negative
Terrible experience.,negative
Best day ever!,positive
Walking to the store.,neutral
Absolutely wonderful!,positive
Absolutely wonderful!,positive
Working on a project.,neutral
Total failure.,negative
I hate this.,negative
It's a normal day.,neutral
Watching TV.,neutral
Meeting went as expected.,neutral
Absolutely disappointing.,negative
Totally recommend this!,positive
Feeling fantastic today!,positive
